Gene Symbol	OQL Line	Num Samples Altered	Percent Samples Altered
CFHR2	CFHR2: EXP<1;	229	100%
CRP	CRP: EXP<1;	225	98%
CFHR1	CFHR1: EXP<1;	217	94%
ADH4	ADH4: EXP<1;	212	92%
PRAP1	PRAP1: EXP<1;	206	90%
LGALS3BP	LGALS3BP: EXP<1;	203	88%
RBP4	RBP4: EXP<1;	198	86%
TF	TF: EXP<1;	196	85%
HBA1	HBA1: EXP<1;	196	85%
COMP	COMP: EXP<1;	196	85%
PPBP	PPBP: EXP<1;	195	85%
ACTB	ACTB: EXP>1;	45	20%
KLKB1	KLKB1: EXP>1;	40	17%
RAP1A	RAP1A: EXP>1;	38	17%
YWHAZ	YWHAZ: EXP>1;	35	15%
ORM2	ORM2: EXP>1;	35	15%
PZP	PZP: EXP>1;	34	15%
TPM4	TPM4: EXP>1;	33	14%
S100A8	S100A8: EXP>1;	33	14%
ITIH3	ITIH3: EXP>1;	33	14%
ACTN1	ACTN1: EXP>1;	32	14%
VCP	VCP: EXP>1;	32	14%
TFRC	TFRC: EXP>1;	30	13%
HSPG2	HSPG2: EXP>1;	30	13%
BPIFB1	BPIFB1: EXP>1;	28	12%
GC	GC: EXP>1;	6	2.6%
IGHD	IGHD: EXP>1;	0	0%
