Gene Symbol	OQL Line	Num Samples Altered	Percent Samples Altered
CFHR2	CFHR2: EXP<1;	438	98%
CRP	CRP: EXP<1;	430	96%
ADH4	ADH4: EXP<1;	427	96%
PRAP1	PRAP1: EXP<1;	414	93%
PPBP	PPBP: EXP<1;	412	92%
CFHR1	CFHR1: EXP<1;	393	88%
LGALS3BP	LGALS3BP: EXP<1;	380	85%
RBP4	RBP4: EXP<1;	377	84%
HBA1	HBA1: EXP<1;	375	84%
COMP	COMP: EXP<1;	374	84%
TF	TF: EXP<1;	359	80%
ITIH3	ITIH3: EXP>1;	75	17%
ACTN1	ACTN1: EXP>1;	74	17%
TFRC	TFRC: EXP>1;	73	16%
VCP	VCP: EXP>1;	69	15%
RAP1A	RAP1A: EXP>1;	68	15%
KLKB1	KLKB1: EXP>1;	68	15%
TPM4	TPM4: EXP>1;	64	14%
ACTB	ACTB: EXP>1;	64	14%
YWHAZ	YWHAZ: EXP>1;	62	14%
HSPG2	HSPG2: EXP>1;	62	14%
S100A8	S100A8: EXP>1;	58	13%
BPIFB1	BPIFB1: EXP>1;	36	8%
PZP	PZP: EXP>1;	35	8%
ORM2	ORM2: EXP>1;	12	2.7%
GC	GC: EXP>1;	8	1.8%
IGHD	IGHD: EXP>1;	0	0%
