Gene Symbol	OQL Line	Num Samples Altered	Percent Samples Altered
CFHR2	CFHR2: EXP<1;	173	36%
CRP	CRP: EXP<1;	169	35%
CFHR1	CFHR1: EXP<1;	167	35%
PPBP	PPBP: EXP<1;	158	33%
ADH4	ADH4: EXP<1;	158	33%
RBP4	RBP4: EXP<1;	155	32%
LGALS3BP	LGALS3BP: EXP<1;	154	32%
TF	TF: EXP<1;	150	31%
HBA1	HBA1: EXP<1;	148	31%
PRAP1	PRAP1: EXP<1;	146	30%
COMP	COMP: EXP<1;	145	30%
YWHAZ	YWHAZ: EXP>1;	33	7%
ITIH3	ITIH3: EXP>1;	31	6%
ACTN1	ACTN1: EXP>1;	30	6%
S100A8	S100A8: EXP>1;	30	6%
HSPG2	HSPG2: EXP>1;	30	6%
ORM2	ORM2: EXP>1;	28	6%
ACTB	ACTB: EXP>1;	28	6%
BPIFB1	BPIFB1: EXP>1;	27	6%
KLKB1	KLKB1: EXP>1;	27	6%
PZP	PZP: EXP>1;	26	5%
VCP	VCP: EXP>1;	25	5%
TPM4	TPM4: EXP>1;	24	5%
TFRC	TFRC: EXP>1;	24	5%
RAP1A	RAP1A: EXP>1;	20	4%
GC	GC: EXP>1;	4	0.8%
IGHD	IGHD: EXP>1;	0	0%
