gene	114	115	116	117	118	119
APOB	8.8836	8.4219	8.6484	8.9165	8.9223	8.7495
CO4B	6.6138	6.5679	6.2675	5.9642	6.6172	6.7896
FINC	8.2777	7.5958	8.4576	8.5394	8.2058	8.6693
C3	8.9511	8.372	8.9676	8.735	8.4286	8.6948
FIBA	8.5089	8.1466	8.4419	8.52	8.4169	8.4757
FIBB	7.9144	7.4734	7.8074	7.9873	7.694	8.042
THRB	8.5902	7.9119	8.5029	8.5283	8.4618	8.3778
FIBG	8.705	8.4814	8.5291	8.731	8.519	8.7974
CFAH	8.4764	7.8363	8.6684	8.5098	8.528	8.7191
ALBU	8.8672	8.2716	8.4156	8.4735	8.1269	9.2012
APOA1	8.0522	7.5915	7.9309	7.8633	7.9578	8.1661
C1R	8.1689	8.3146	8.1736	8.3452	8.3605	8.6939
C1S	8.4344	7.8732	8.3363	8.1436	8.2827	8.5314
APOA4	8.6664	8.5502	9.0186	8.7741	8.7591	8.6688
PLMN	8.5612	8.3405	8.57	8.6702	8.6137	8.7565
VTNC	7.8304	7.4407	7.674	7.8348	7.6822	7.852
APOE	8.8263	7.1492	8.7902	8.3632	8.415	8.6021
CP	7.4781	7.1015	7.2374	7.5226	7.386	7.6438
C4BPA	7.8672	7.8621	8.1045	8.405	8.3505	8.4803
FA5	8.8818	8.2736	8.6973	8.5874	8.5593	8.7712
FBLN1	8.8956	8.5001	8.8007	9.1277	8.9692	9.0926
IGHM	8.4527	7.8482	7.6476	8.7953	8.0663	8.8621
CLU	8.1779	7.6601	8.4997	8.5158	8.1922	8.532
F13B	8.5082	7.9734	8.4635	8.4147	8.3705	8.3258
PROS1	8.5715	8.0519	8.4112	8.7758	8.5034	8.9889
PZP	7.3941	7.5289	8.0703	7.1467	9.129	8.6419
TF	8.6764	8.7206	8.2243	7.9833	7.7578	9.3023
FHR5	8.8521	8.8088	8.8906	8.8882	9.0087	9.0087
IGHG3	8.2096	6.7685	7.7872	8.2141	8.3102	8.6488
FETUA	9.0257	9.0606	9.111	8.8875	9.0464	9.2404
TSP1	8.488	6.4578	8.7532	9.1339	7.8362	8.3534
PHLD	8.9371	7.7048	8.9017	9.1676	9.027	8.5734
PON1	8.6942	8.6314	8.5939	9.1396	8.7097	8.7175
ITIH4	8.7475	8.152	8.6844	8.642	8.6063	8.7563
LG3BP	8.3531	7.8608	8.1084	8.0914	7.7437	8.0729
F13A	8.6253	8.2743	8.4087	8.372	8.4626	8.419
A1AT	8.8855	8.9459	8.5722	8.4887	8.8403	9.351
CNDP1	8.4244	8.2712	8.3104	8.887	8.4309	8.3411
APOA2	8.7084	8.9678	9.0453	8.9071	8.9604	8.7864
LTF	8.2841	7.2548	8.2399	8.2474	7.873	7.9124
FA12	8.574	7.7029	8.6962	8.9034	8.2496	8.5381
MASP1	8.6002	8.1496	8.5618	8.6723	8.4785	8.6796
